u,observed_q,epsilon_floor,residue
-3.0,1.0000000000000004,1.0,4.0
-2.98,1.0000000000000004,1.0,3.9800000000000004
-2.96,1.0000000000000007,1.0,3.960000000000001
-2.94,1.0000000000000007,1.0,3.9400000000000004
-2.92,1.0000000000000009,1.0,3.920000000000001
-2.9,1.0000000000000009,1.0,3.900000000000001
-2.88,1.000000000000001,1.0,3.880000000000001
-2.86,1.0000000000000013,1.0,3.860000000000001
-2.84,1.0000000000000016,1.0,3.8400000000000016
-2.82,1.0000000000000018,1.0,3.8200000000000016
-2.8,1.0000000000000022,1.0,3.800000000000002
-2.78,1.0000000000000024,1.0,3.780000000000002
-2.76,1.0000000000000029,1.0,3.7600000000000025
-2.74,1.0000000000000036,1.0,3.7400000000000038
-2.7199999999999998,1.0000000000000042,1.0,3.720000000000004
-2.7,1.0000000000000049,1.0,3.700000000000005
-2.68,1.0000000000000058,1.0,3.680000000000006
-2.66,1.0000000000000069,1.0,3.6600000000000072
-2.64,1.000000000000008,1.0,3.640000000000008
-2.62,1.0000000000000095,1.0,3.62000000000001
-2.6,1.0000000000000113,1.0,3.600000000000011
-2.58,1.0000000000000133,1.0,3.5800000000000134
-2.56,1.0000000000000158,1.0,3.5600000000000156
-2.54,1.0000000000000184,1.0,3.5400000000000187
-2.52,1.0000000000000218,1.0,3.520000000000022
-2.5,1.0000000000000258,1.0,3.5000000000000258
-2.48,1.0000000000000304,1.0,3.4800000000000306
-2.46,1.000000000000036,1.0,3.460000000000036
-2.44,1.0000000000000426,1.0,3.4400000000000426
-2.42,1.0000000000000504,1.0,3.4200000000000506
-2.4,1.0000000000000595,1.0,3.4000000000000594
-2.38,1.0000000000000702,1.0,3.38000000000007
-2.36,1.000000000000083,1.0,3.360000000000083
-2.34,1.000000000000098,1.0,3.3400000000000976
-2.32,1.000000000000116,1.0,3.3200000000001157
-2.3,1.0000000000001368,1.0,3.3000000000001366
-2.2800000000000002,1.0000000000001616,1.0,3.280000000000162
-2.26,1.000000000000191,1.0,3.2600000000001907
-2.24,1.0000000000002256,1.0,3.240000000000226
-2.2199999999999998,1.0000000000002665,1.0,3.220000000000266
-2.2,1.0000000000003149,1.0,3.200000000000315
-2.18,1.000000000000372,1.0,3.180000000000372
-2.16,1.0000000000004392,1.0,3.1600000000004393
-2.14,1.000000000000519,1.0,3.1400000000005193
-2.12,1.000000000000613,1.0,3.120000000000613
-2.1,1.0000000000007243,1.0,3.1000000000007244
-2.08,1.0000000000008555,1.0,3.0800000000008554
-2.06,1.0000000000010107,1.0,3.060000000001011
-2.04,1.0000000000011942,1.0,3.040000000001194
-2.02,1.0000000000014106,1.0,3.020000000001411
-2.0,1.0000000000016664,1.0,3.0000000000016662
-1.98,1.0000000000019689,1.0,2.9800000000019686
-1.96,1.000000000002326,1.0,2.960000000002326
-1.94,1.0000000000027476,1.0,2.9400000000027475
-1.92,1.000000000003246,1.0,2.920000000003246
-1.9,1.0000000000038347,1.0,2.9000000000038346
-1.88,1.0000000000045302,1.0,2.88000000000453
-1.86,1.0000000000053517,1.0,2.8600000000053516
-1.84,1.0000000000063223,1.0,2.8400000000063224
-1.82,1.000000000007469,1.0,2.820000000007469
